cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Xanthia aurago,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cosmorhoe ocellata,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Diarsia rubi,Larval feeding on herbs,larvae only feed on herbaceous plants.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Oligia strigilis,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia satyrata,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Catoptria permutatella,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Etiella zinckenella,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrotis exclamationis,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Perizoma hydrata,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrochola circellaris,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Epione repandaria,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Trichiura crataegi,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrotis bigramma,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mythimna turca,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phragmatobia fuliginosa,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xestia c-nigrum,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Crambus pratella,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea degeneraria,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrochola nitida,Larval feeding on herbs,larvae only feed on herbaceous plants.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anania verbascalis,Pupation Site,"pupation site distinctly above ground, in higher vegetation.5",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia absinthiata,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acronicta cuspis,Larval feeding on broadleaved trees and shrubs,larvae only feed on trees and shrubs.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Rhodostrophia vibicaria,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mesoligia furuncula,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thumatha senex,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Etiella zinckenella,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Euxoa distinguenda,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Endotricha flammealis,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Abrostola tripartita,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Noctua janthe,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pechipogo strigilata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Litoligia literosa,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Eulithis mellinata,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Trisateles emortualis,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea degeneraria,Larval Feeding on dead plant matter,larvae feed on withered plants or on leaf litter and alike.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Spilosoma lubricipeda,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acronicta alni,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anania hortulata,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cosmia diffinis,Larva Feeding Place,"larva construct closed shelters (from leaf rolls, leaves spun together or alike; viz. they are ‘semi-concealed’); or they are boring into plant tissues, but only for a fraction of their development",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Endotricha flammealis,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apamea crenata,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Peribatodes rhomboidaria,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scopula floslactata,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acontia trabealis,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phragmatobia fuliginosa,Larval feeding on herbs,larvae only feed on herbaceous plants.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xanthorhoe ferrugata,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Catoptria verella,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Autographa gamma,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anania hortulata,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anticollix sparsata,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Athetis lepigone,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Watsonalla binaria,Larval feeding on broadleaved trees and shrubs,larvae only feed on trees and shrubs.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ecliptopera silaceata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Macrochilo cribrumalis,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Deltote bankiana,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Idaea dimidiata,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Oncocera semirubella,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phlogophora meticulosa,Larval feeding on herbs,larvae only feed on herbaceous plants.,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Eudonia lacustrata,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Idaea fuscovenosa,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hemithea aestivaria,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hemistola chrysoprasaria,Pupation Site,"pupation site distinctly above ground, in higher vegetation",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Stemmatophora brunnealis,Pupation Site,"pupation site distinctly above ground, in higher vegetation",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anania lancealis,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anticollix sparsata,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea aversata,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cleoceris scoriacea,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Noctua interposita,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Scopula rubiginata,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Delplanqueia dilutella,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ochropleura plecta,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Leucoma salicis,Proboscis development,proboscis reduced and non-functional; ,proboscis reduced an non-functional,,,moderate,predicted a different value for this trait
"species present, trait missing",Idaea fuscovenosa,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agriphila tolli,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Elaphria venustula,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Phycitodes binaevella,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Epirrita dilutata,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Triodia sylvina,Larva Feeding Place,"larvae are internal feeders inside plant organs such as stems, fruits, or roots.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nola cucullatella,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea pallidata,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dysstroma truncata,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orthosia incerta,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Thetidia smaragdaria,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Cleoceris scoriacea,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orthonama obstipata,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia inturbata,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eudonia mercurella,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Angerona prunaria,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hadena bicruris,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ochropleura plecta,Larval feeding on herbs,larvae only feed on herbaceous plants.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia tenuiata,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia centaureata,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ipimorpha retusa,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Gortyna flavago,Larva Feeding Place,"larvae are internal feeders inside plant organs such as stems, fruits, or roots.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Noctua janthina,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Elophila rivulalis,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Horisme vitalbata,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Rivula sericealis,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Peribatodes rhomboidaria,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scopula virgulata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Costaconvexa polygrammata,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Herminia tarsicrinalis,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lomaspilis marginata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Campaea margaritaria,Pupation Site,"pupation site distinctly above ground, in higher vegetation",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Amphipyra pyramidea,Larval Feeding on softwood trees,larvae exclusively feed on softwood trees in nature.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Selenia tetralunaria,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Catocala nupta,Pupation Site,"pupation site distinctly above ground, in higher vegetation",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Smerinthus ocellata,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mythimna impura,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ennomos autumnaria,Pupation Site,"pupation site distinctly above ground, in higher vegetation",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acosmetia caliginosa,Larval feeding on broadleaved trees and shrubs,larvae only feed on trees and shrubs.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Erannis defoliaria,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anania hortulata,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Notodonta tritophus,Larval feeding on broadleaved trees and shrubs,larvae only feed on trees and shrubs.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydriomena impluviata,Larval Feeding on softwood trees,larvae exclusively feed on softwood trees in nature.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea subsericeata,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Sciota adelphella,Hibernation in pupal stage rceorded,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Colobochyla salicalis,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hoplodrina ambigua,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Trichiura crataegi,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mesapamea secalella,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xestia rhomboidea,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydriomena furcata,Larva Feeding Place,"larva construct closed shelters (from leaf rolls, leaves spun together or alike; viz. they are ‘semi-concealed’); or they are boring into plant tissues, but only for a fraction of their development",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia absinthiata,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scoliopteryx libatrix,Adult feeding,adult moths known to regularly visit rotting fruits an related non-floral nutrient sources.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia selinata,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anticollix sparsata,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ipimorpha subtusa,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Evergestis limbata,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Mythimna conigera,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Pyrausta purpuralis,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Evergestis forficalis,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Cryphia algae,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Synaphe punctalis,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Epirrita dilutata,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Pyralis regalis,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Noctua orbona,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Sciota adelphella,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Amphipyra pyramidea,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apamea epomidion,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Idaea fuscovenosa,Larval feeding on lianas,larval host range does include lianas,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eilema complana,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hoplodrina blanda,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lythria purpuraria,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cosmia pyralina,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Dypterygia scabriuscula,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Eupithecia selinata,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Gymnancyla hornigii,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ipimorpha subtusa,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyrausta purpuralis,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Amphipyra tragopoginis,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Orgyia antiqua,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ochropacha duplaris,Larval feeding on broadleaved trees and shrubs,host range includes broadleaved trees and shrubs,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agriphila tristella,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Evergestis aenealis,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Spatalia argentina,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ecliptopera silaceata,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lacanobia oleracea,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Laspeyria flexula,Larval Feeding on mosses and lychens,"larvae feed on lichens, mosses, or algal biofilms.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scopula floslactata,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cepphis advenaria,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Chiasmia clathrata,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Laodamia faecella,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Apterogonum ypsillon,Hibernation in larval state recorded,No,no hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Scopula ornata,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Drepana falcataria,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Lymantria dispar,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Macaria liturata,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Eudonia laetella,Hibernation in larval state recorded,Yes,hibernation in larval stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Caradrina clavipalpis,Hibernation in pupal stage rceorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Synaphe punctalis,Larval feeding on herbs,larvae exclusively feed on woody plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Selenia lunularia,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Colocasia coryli,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Sabra harpagula,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Phragmataecia castaneae,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Macaria alternata,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Mythimna straminea,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Oligia versicolor,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Therapis flavicaria,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eudonia truncicolella,Larval feeding on lianas,"larvae not known to feed on the few lianas native to Central Europe (Clematis vitalba, Hedera helix) which are common in floodplain forests",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acrobasis legatea,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Noctua comes,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nycteola asiatica,Larval feeding on broadleaved trees and shrubs,caterpillars do not feed on woody deciduous plants in nature,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lymantria dispar,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Gymnoscelis rufifasciata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Caradrina clavipalpis,Larval Feeding on dead plant matter,larvae feed on withered plants or on leaf litter and alike.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Abraxas sylvata,Hibernation in pupal stage rceorded,Yes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Plemyria rubiginata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur well above ground (>100cm), thus hardly threatened by flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hadena bicruris,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phycitodes binaevella,Larval socialization,larvae feed solitarily,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scopula immutata,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Egira conspicillaris,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Abrostola tripartita,Migration,"species not migratory, even though dispersive adults may show up far away from their breeding grounds",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acrobasis advenella,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Tethea ocularis,Number of host plant families recorded in evaluated sources. ,1 genus,0.5,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ptilodon cucullina,Number of host plant families recorded in evaluated sources. ,1 genus,0.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Idaea rubraria,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
