cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Cricotopus sylvestris-type,Mentum ratio,2-2.9,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polypedilum nubeculosum-type,Teeth type,2 median teeth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polypedilum nubeculosum-type,Teeth type,First lateral tooth lower,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nanocladius branchicolus-type,Plate type,Broadening/narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pseudorthocladius,Teeth type,One broad median tooth or two median teeth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pseudorthocladius,Teeth type,4-5 lateral teeth,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Chironomus anthracinus-type,Body size,>10,size3,,,moderate,predicted a different value for this trait
"species present, trait missing",Cricotopus cylindraceus-type,Mentum ratio,ca. 2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cricotopus sylvestris-type,Teeth type,One median tooth,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Hydrobaenus conformis-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Chironomus anthracinus-type,Mentum ratio,2.9-3.9,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Brillia,Body size,>5–10,size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Phaenopsectra typeA,Teeth type,3-4 median teeth higher than lateral ones,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Heterotrissocladius marcidus-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Endochironomus albipennis-type,Functional feeding guild,Shredders,Shr,,,moderate,predicted a different value for this trait
"species present, trait missing",Hydrobaenus conformis-type,Mentum ratio,2.2-2.9,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cladopelma lateralis-type,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Stempellinella-Zavrelia,Body size,<5,Size1,,,moderate,predicted a different value for this trait
"species present, trait missing",Proposilocerus akamusi-type,Plate type,Narrow plates with setae,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Brillia,Mentum ratio,<2.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tanytarsini,Plate type,"Broad, well separated ventromental plates",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Micropsectra contracta-type,Ventral type,"Long ventromental plates, close together",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydrobaenus conformis-type,Teeth type,Two median teeth,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Einfeldia dissidens-type,Body size,>10,Size3,,,moderate,predicted a different value for this trait
"species present, trait missing",Heterotrissocladius marcidus-type,Mentum ratio,2.2-2.9,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Micropsectra insignilobus-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Polypedilum sordens-type,Functional feeding guild,Shredders,Shr,,,moderate,predicted a different value for this trait
"species present, trait missing",Heterotrissocladius marcidus-type,Teeth type,Two median teeth,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Neozavrelia,Body size,<5,Size1,,,moderate,predicted a different value for this trait
"species present, trait missing",Cladopelma laccophila-type,Teeth type,Cluster of outermost lateral teeth,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Stictochironomus,Body size,>10,Size3,,,moderate,predicted a different value for this trait
"species present, trait missing",Endochironomus albipennis-type,Mentum ratio,2.9-4-1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Sergentia coracina-type,Teeth type,3-4 median teeth higher than lateral ones,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Polypedilum sordens-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Metriocnemus fuscipes-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Symposiocladius,Body size,<5,Size1,,,moderate,predicted a different value for this trait
